,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path1_b,path2_b,path3_b,path1_av_i,path2_av_i,path3_av_i
0,3s,penalty,1,average,"[16.710496808383382, 8.028145480899454]","[8.322518825387888, 5.360610620472319]","[9.233287680555556, 5.954254961655109]","[16.49965299595892, 11.883403463006058]","[8.80686690990991, 7.296525162827781]","[7.901816744639375, 7.929276733070302]",[19.661601527845228],[11.425492395397221],[10.073315226626416]
1,3s,penalty,1,gaus_80,"[15.245461474332664, 7.674051072436969]","[7.835201011974476, 4.732102609524368]","[6.979294649074075, 4.413395131199432]","[16.49965299595892, 11.883403463006058]","[8.80686690990991, 7.296525162827781]","[6.379785071806501, 4.573514085518356]",[18.065715433871826],[10.474805429940195],[7.554758246396686]
2,3s,penalty,1,gaus_normal,"[15.245461474332664, 7.674051072436969]","[7.835201011974476, 4.732102609524368]","[6.979294649074075, 4.413395131199432]","[16.49965299595892, 11.883403463006058]","[8.80686690990991, 7.296525162827781]","[6.379785071806501, 4.573514085518356]",[18.065715433871826],[10.474805429940195],[7.554758246396686]
3,3s,penalty,1,gaus_top,"[15.245461474332664, 7.674051072436969]","[7.835201011974476, 4.732102609524368]","[6.979294649074075, 4.413395131199432]","[16.49965299595892, 11.883403463006058]","[8.80686690990991, 7.296525162827781]","[6.379785071806501, 4.573514085518356]",[18.065715433871826],[10.474805429940195],[7.554758246396686]
4,3s,penalty,3,average,"[17.14504150005005, 7.321215753979807]","[7.915862325387883, 5.774839674202123]","[9.422011357407404, 5.755764073691116]","[15.140839230526824, 11.065663824959014]","[7.687181856356355, 5.535961708753972]","[7.8501361253561255, 6.358171613746003]",[19.73452739414397],[10.568691449730498],[10.098448761315277]
5,3s,penalty,3,gaus_80,"[15.422128663607323, 8.556360493511983]","[6.8548422301070335, 4.71805191355977]","[7.208982464976623, 3.8515003600761473]","[15.143238679971445, 10.96929372497536]","[7.307766671419278, 5.464935544945324]","[6.931624455893068, 4.113539479229831]",[18.275300477019876],[9.335981437044003],[7.683637060538625]
6,3s,penalty,3,gaus_normal,"[15.436557100448391, 8.506594451056428]","[6.832309949249897, 4.723467472862041]","[7.205353251736499, 3.817457318074561]","[14.997013313591687, 11.021199984926012]","[7.310293973451424, 5.37324688968161]","[6.881457439611097, 3.9564947136348483]",[18.204570870606705],[9.285890756085461],[7.652112468988577]
7,3s,penalty,3,gaus_top,"[14.900903410710713, 8.725528840325225]","[7.111408630092592, 4.675507840252827]","[7.3702025716049375, 4.249949200192672]","[15.37062129833537, 10.405920675376723]","[8.259389773023022, 5.89625437556652]","[7.346855880574453, 7.583079685918491]",[18.256716211907857],[10.2273666839519],[8.147471701341995]
8,3s,penalty,6,average,"[16.82423804219219, 7.487058823968192]","[8.000471321221221, 5.709967719176823]","[12.909125823456792, 6.161948973951025]","[15.250048181051424, 9.83455134227047]","[6.7972041063563555, 5.098788411791787]","[8.645652799145298, 6.555420716515206]",[19.702172246356866],[9.953570165168307],[13.598485350538231]
9,3s,penalty,6,gaus_80,"[15.024453669605146, 8.09400907397728]","[6.310916280104979, 4.067972158462173]","[8.061532027538252, 4.438206671721824]","[14.724657570293893, 10.300923195640308]","[6.5793680992039185, 4.922365334505571]","[6.962989281028804, 3.856489347197855]",[17.864062969713313],[8.36027910891541],[8.743399849538445]
10,3s,penalty,6,gaus_normal,"[14.973508172070195, 8.072591300310922]","[6.3323818975599035, 4.204219926670512]","[7.889582067511901, 4.238382183449734]","[14.752164308401689, 10.172230476407238]","[6.534783270936529, 4.926048263168645]","[6.9872895436231826, 3.751816157721088]",[17.755247823212965],[8.33415297781596],[8.507524484986712]
11,3s,penalty,6,gaus_top,"[14.894236910710712, 7.751108659976366]","[7.013744405092592, 4.27381918557013]","[8.256489055864199, 5.589656715607721]","[14.941002409446481, 11.189358584638384]","[8.224255516266266, 7.352635914011701]","[7.551784088598403, 5.677931251303943]",[18.35135372723841],[10.226901210160587],[9.473420394494019]
12,3s,penalty,12,average,"[16.994107252145895, 8.019821281249667]","[8.176841911846223, 5.070018593867128]","[19.057558528549382, 6.885886179659221]","[15.846946838458827, 9.67250089085552]","[6.768355144582079, 4.739464070495636]","[13.058244285968659, 7.684082958373966]",[20.608261380907972],[10.008626732628526],[20.383886627202326]
13,3s,penalty,12,gaus_80,"[15.445464864107413, 8.884870802601695]","[5.872124339010496, 3.132690016793201]","[8.954455074454547, 5.473740282030154]","[15.34660943650889, 8.914945920949123]","[5.72707407951921, 4.22041274526733]","[8.517182622309072, 6.355851128781679]",[18.567930333513235],[8.032706984404935],[9.986257539521867]
14,3s,penalty,12,gaus_normal,"[15.30881159876757, 8.670530015505541]","[5.8727076083378735, 3.3109877952818456]","[8.73229230609214, 4.939353768446879]","[15.018218432574688, 9.008414340495516]","[5.96786592605011, 4.254167531829894]","[8.533064384995413, 5.4335180259555855]",[18.211963441034687],[8.024317394142455],[9.731470775150799]
15,3s,penalty,12,gaus_top,"[15.678846924599602, 8.953605954944996]","[5.65148817205956, 2.9887814504965924]","[9.22483521697531, 6.61499816477558]","[15.873007433359286, 10.568600132776517]","[7.210180101351351, 6.158015669619639]","[9.211873304284676, 8.644402676612524]",[19.55524986243163],[9.834875931123364],[10.525529687363155]
16,3s,ignore,1,average,"[16.71744258068068, 10.251497727250646]","[10.568159880155154, 5.606947201593588]","[13.144231056790124, 6.050785818463525]","[19.37403732846054, 13.901977436759584]","[10.28395342105263, 10.677391324017732]","[13.891650871056243, 10.429805767219635]",[21.603610211042824],[14.310143779939589],[15.92731400018352]
17,3s,ignore,1,gaus_80,"[16.518558664014016, 10.334287421642985]","[10.368331542655154, 5.472798313006861]","[13.144231056790124, 6.050785818463525]","[18.974839392469395, 13.730826058081218]","[10.28395342105263, 10.677391324017732]","[13.891650871056243, 10.429805767219635]",[21.470377739324483],[14.05453005279902],[15.92731400018352]
18,3s,ignore,1,gaus_normal,"[16.518558664014016, 10.334287421642985]","[10.368331542655154, 5.472798313006861]","[13.144231056790124, 6.050785818463525]","[18.974839392469395, 13.730826058081218]","[10.28395342105263, 10.677391324017732]","[13.891650871056243, 10.429805767219635]",[21.470377739324483],[14.05453005279902],[15.92731400018352]
19,3s,ignore,1,gaus_top,"[16.518558664014016, 10.334287421642985]","[10.368331542655154, 5.472798313006861]","[13.144231056790124, 6.050785818463525]","[18.974839392469395, 13.730826058081218]","[10.28395342105263, 10.677391324017732]","[13.891650871056243, 10.429805767219635]",[21.470377739324483],[14.05453005279902],[15.92731400018352]
20,3s,ignore,3,average,"[16.9982263517017, 10.06416075004477]","[10.003810125387886, 5.226651637951288]","[12.30378293271605, 5.3383745514964]","[17.848816824583203, 11.177136891427118]","[7.558527643432904, 8.64334402916851]","[12.203078545953362, 7.291441705317992]",[19.988924735165348],[11.731409596101429],[14.439122457277387]
21,3s,ignore,3,gaus_80,"[17.625465185538587, 11.148837965833284]","[9.807785873362494, 4.8247609390676836]","[12.636874719632655, 5.938906808265209]","[18.941362152633005, 12.34970337130716]","[7.998260892587972, 9.304093639932999]","[12.065881029915367, 9.125818239863273]",[21.02791697662716],[11.689946555936814],[14.95385812400412]
22,3s,ignore,3,gaus_normal,"[17.408406289425905, 10.878760223351222]","[9.801236351233433, 4.8304946654747996]","[12.588479656959404, 5.735908608679108]","[18.687233324159873, 11.884703083596989]","[7.854175888444679, 9.175757527640108]","[12.105733994718754, 8.387575560952111]",[20.728141668364767],[11.530543240081608],[14.755631130437965]
23,3s,ignore,3,gaus_top,"[18.727855115240242, 11.252679642194423]","[10.94113170344094, 5.413856267932131]","[12.559591352160497, 5.989818774611416]","[20.013513663663666, 12.895800173015495]","[10.170959038248775, 10.605755809893937]","[12.44431622770919, 10.332826339887657]",[22.738627003217417],[13.51805173989867],[15.698201396864146]
24,3s,ignore,6,average,"[16.709443447997998, 10.248986454857956]","[9.250245631637886, 4.719450806126049]","[11.826850411882718, 5.405710097951728]","[17.211668002744123, 11.752503080169811]","[5.9405606124545605, 6.9905463927850615]","[12.441069852537725, 6.731734756514996]",[19.40933552796787],[10.43138547949535],[14.21857450139419]
25,3s,ignore,6,gaus_80,"[16.95757309278826, 11.410918588303513]","[8.522517205347649, 4.603879769365749]","[12.419333063368832, 5.948353653747741]","[17.32694892139541, 13.134962684924158]","[5.442752190870041, 6.522114494781853]","[12.827895116924784, 7.982161532183353]",[19.962319356987138],[9.78639373693713],[14.702119071875234]
26,3s,ignore,6,gaus_normal,"[16.86607484602555, 11.030718611506192]","[8.40104860693348, 4.38854913038607]","[12.217087107197221, 5.808566950876558]","[17.027669448882673, 12.442255710996363]","[5.429948238189961, 6.610885758286636]","[12.644467043104576, 7.432933339251548]",[19.67385397623598],[9.58406492792243],[14.576759701887756]
27,3s,ignore,6,gaus_top,"[16.451326444294295, 11.632376177398891]","[8.656491623673674, 5.177476087773123]","[12.827263672530865, 6.748375185165192]","[17.868187435538992, 13.981075032553731]","[7.857735167535955, 8.235543865076608]","[13.391891989026062, 10.77926741586873]",[20.786058922926134],[11.662523212024169],[15.068150197223417]
28,3s,ignore,12,average,"[16.398343201007258, 10.281750221588963]","[8.766641647632008, 3.7014498623366516]","[11.475402408179011, 5.270677496179772]","[17.092897025732633, 11.235927711166193]","[5.850441164849058, 5.761626097531923]","[11.830179775377232, 6.31621166286055]",[18.61058209197884],[9.8069807256455],[13.633988117071974]
29,3s,ignore,12,gaus_80,"[16.804689406925863, 10.844952627211757]","[7.861437213024895, 3.6582633944075234]","[12.269086223440395, 5.678433303468248]","[17.577048579305323, 12.501057058959226]","[5.173275052993865, 5.121898069329347]","[12.239185327328073, 6.9095708429836575]",[19.155678755808413],[8.984280518125544],[14.403798423973399]
30,3s,ignore,12,gaus_normal,"[16.66278184443254, 10.689771229717751]","[7.845940082214926, 3.4622337693901515]","[11.933280964503767, 5.554310236991335]","[17.437591219929015, 11.98085423699474]","[5.2164621476194695, 5.341463844315384]","[12.03963605487402, 6.493255021606226]",[18.899067705177792],[8.844262054994465],[14.083135180225913]
31,3s,ignore,12,gaus_top,"[17.224162645095095, 11.013281601237567]","[7.696182298673674, 4.374408981049566]","[13.42682892993827, 6.29468083840999]","[19.72258862534949, 15.349416024380128]","[8.063430462304405, 7.614645648556429]","[11.63912022079772, 11.738588289082498]",[21.02288651632574],[11.002955167035456],[14.789736247489003]
32,5s,penalty,1,average,"[15.409291101101104, 7.758791564069458]","[6.2917779702202195, 3.4686477262168043]","[8.322473688786008, 5.107219673478696]","[14.845815772995216, 9.837290896081292]","[6.740727929596264, 6.900065191743979]","[7.806937880658438, 8.837609699433361]",[17.694084120994013],[8.264978555555556],[9.243727587388044]
33,5s,penalty,1,gaus_80,"[14.811713448323324, 7.758996016398351]","[6.260389866053553, 3.432867130649728]","[7.155390383744855, 3.877125652799158]","[14.845815772995216, 9.837290896081292]","[6.740727929596264, 6.900065191743979]","[6.686393682539683, 4.78642879196413]",[16.981433590083373],[8.143821342193643],[7.825035098560536]
34,5s,penalty,1,gaus_normal,"[14.811713448323324, 7.758996016398351]","[6.260389866053553, 3.432867130649728]","[7.155390383744855, 3.877125652799158]","[14.845815772995216, 9.837290896081292]","[6.740727929596264, 6.900065191743979]","[6.686393682539683, 4.78642879196413]",[16.981433590083373],[8.143821342193643],[7.825035098560536]
35,5s,penalty,1,gaus_top,"[14.811713448323324, 7.758996016398351]","[6.260389866053553, 3.432867130649728]","[7.155390383744855, 3.877125652799158]","[14.845815772995216, 9.837290896081292]","[6.740727929596264, 6.900065191743979]","[6.686393682539683, 4.78642879196413]",[16.981433590083373],[8.143821342193643],[7.825035098560536]
36,5s,penalty,3,average,"[14.997511272397398, 7.096251595086742]","[5.596776993993991, 3.3249813290892245]","[8.011123448045268, 4.03791817311325]","[14.665586923780921, 10.66532624593849]","[4.919329799799798, 4.148155691133506]","[6.837689135802469, 5.130485738274843]",[16.991256773123915],[7.252863941358024],[8.678440340111353]
37,5s,penalty,3,gaus_80,"[13.818204222741548, 7.729301937088949]","[5.442376261715786, 2.8667869377948523]","[6.876300965939696, 3.3918468849997234]","[13.750426913824572, 8.297955560819494]","[4.940654795855097, 3.576333397448246]","[6.444915873384928, 3.9877100333467563]",[16.02210006687231],[7.057375721273333],[7.3506851090720335]
38,5s,penalty,3,gaus_normal,"[13.969858358984126, 7.681119484135099]","[5.324988136934891, 2.9123831831903226]","[6.8500732956367365, 3.291083034112271]","[13.86661789235092, 8.278994288144009]","[4.896747170777348, 3.6584833322894856]","[6.398055062395437, 3.8959188575177266]",[16.073130112180344],[6.966549728515261],[7.354851919350507]
39,5s,penalty,3,gaus_top,"[14.074708183558561, 7.480560031676486]","[5.987097288017185, 3.418517318981376]","[7.118292545781894, 3.757224845970598]","[13.284000372316761, 8.93932927049503]","[5.919304799799801, 3.2495541354751847]","[7.204758148148149, 7.4214571134571425]",[16.803862519221326],[8.436895309015537],[7.899260773390651]
40,5s,penalty,6,average,"[15.047695202952955, 6.584809694306738]","[5.838860253294963, 3.128845248895368]","[10.52519639711934, 4.912871802083643]","[14.782717213324437, 8.731209246103361]","[4.464425145562229, 3.4045116742629924]","[8.605546172839505, 6.417987282697253]",[17.059645549085594],[7.150994060185186],[11.319318397845558]
41,5s,penalty,6,gaus_80,"[13.924461750434027, 7.497235398390111]","[5.156472793436581, 2.603125299464748]","[7.833844620566542, 4.030085432439096]","[13.70255336200723, 8.51081907650487]","[4.61078277938452, 2.9399533791173185]","[6.7708760703683035, 4.031361913128522]",[15.9828419756799],[6.764655260634965],[8.369803970629533]
42,5s,penalty,6,gaus_normal,"[14.04510167216915, 7.525956059483133]","[5.127299937870414, 2.668119725896279]","[7.722949047576659, 3.666015703650185]","[13.878762359757502, 8.4866777679372]","[4.4821538539345, 3.106848399561111]","[6.7739505086333685, 3.78325166999093]",[15.953006235285267],[6.687866070418563],[8.215156806109281]
43,5s,penalty,6,gaus_top,"[13.702680447447449, 7.332646128055182]","[5.374057058850518, 2.9642537388889245]","[7.9467286244855995, 4.891464460555285]","[13.141650466577689, 9.317844088511658]","[6.30746660035035, 4.67720283297853]","[7.582114969135803, 6.672548151733217]",[16.742000402981912],[8.131274857857857],[9.060112703747796]
44,5s,penalty,12,average,"[15.230296577077079, 6.672779638884365]","[6.082835635239405, 2.800243162389814]","[16.672419255915635, 6.126637754478279]","[15.05319628092378, 9.646721286268466]","[4.574127941795964, 3.4412591808755493]","[12.022847569444444, 7.734917269690321]",[17.888786749162257],[7.345152536098598],[18.371814557431613]
45,5s,penalty,12,gaus_80,"[14.130520953306403, 7.997220606560168]","[5.041036954785985, 2.191398636122914]","[8.837662999575596, 5.389831332321036]","[14.011056958043994, 8.328830082683243]","[4.1863469953581465, 2.708046095287732]","[8.796136909236075, 7.474480909429456]",[16.388288686069195],[6.472829269390893],[9.739564238626192]
46,5s,penalty,12,gaus_normal,"[14.19408959993273, 7.8796362337320005]","[5.0941074344041395, 2.311781830739832]","[8.721122941810654, 4.724643704894134]","[14.156450539375854, 8.336455624882255]","[4.141533170297152, 3.1178920942804504]","[8.743233036693077, 6.316108434450012]",[16.241298399499534],[6.42317484550218],[9.608472261229142]
